title,date,month,year,day,Incident,Type,Location,Weather,Other Agencies,Diagnosis,Incident_Type,Incident_Cause,url,main_text,rescue_info,start_time,end_time,hrs,staff,location,total_hrs,Tagged
Scafell Pike ï¿½ï¿½ï¿½ Sun 2nd Ma,2-Mar-25,3,2025,1,16 in 2025,Alert ï¿½ï¿½ï¿½ O,Scafell Pike,['Cloudy Summits'],['Cumbria Police'],,Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sun-2nd-mar-2025/,"The Duty Team Leader was alerted when a concerned family member called Cumbria Police. A group of four inexperienced walkers had ascended Scafell Pike, but had not been contactable for many hours. Their cars were still at Seathwaite. As information was gathered, it transpired that the group were planning on camping overnight. With the local knowledge that it was quite likely that the group had no mobile signal in this area, it was deemed that no immediate response was necessary. The Keswick MRT Team Leader was also notified for awareness. In the morning, one of the walkers was able to be contacted on their descent and confirmed that they had been camping in the Sprinkling Tarn area and were all safe and well. ", Incident started at 02:03 and ended at 08:50 making 6.8 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 24195 07978. Total rescuer hours: 7,2:03,8:50,6.8,1,NY 24195 07978,7,['Overdue']
"Middleboot Knotts, Scafell Pike ï¿½ï¿½ï¿½ Tue 25th Fe",25-Feb-25,2,2025,3,15 in 2025,Full Callout ï¿½ï¿½ï¿½ Cr,"Middleboot Knotts, Scafell Pike","['Clear', 'Cold', 'Dry']",['Cumbria Police'],,Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/middleboot-knotts-scafell-pike-tue-25th-feb-2025/,"A call was received from Cumbria Police about two walkers who were reporting themselves ï¿½ï¿½ï¿½stuckï¿½ï¿½ï¿½ on their descent from Scafell Pike. The initial call coordinates put them at the ï¿½ï¿½ï¿½bad stepï¿½ï¿½ï¿½ on the path adjacent to the edge of Piers Gill. This is a short scramble with some exposure. A very poor mobile signal made it difficult to establish too much further information but it was clear help was needed. The team was called out and made their way to scene. Once there, the two walkers were reassured and a simple rope system was established to ensure safety and give confidence to descend to the bottom of the scramble. After they were back on safer ground the party walked off to Gavel Neese, where the team vehicles were located. Weary team members then made their way back to base. The equipment was checked and the vehicles reset ready for the next callout, before making their way ho", Incident started at 21:19 and ended at 03:53 making 6.6 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY 212083. Total rescuer hours: 132,21:19,3:53,6.6,20,NY 212083,132,['Cragfast']
Scafell Pike ï¿½ï¿½ï¿½ Sun 23rd Fe,23-Feb-25,2,2025,1,14 in 2025,Alert ï¿½ï¿½ï¿½ O,Scafell Pike,"['Cold', 'Dry']",['Cumbria Police'],,Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sun-23rd-feb-2025/,"A brief alert when the team was called by Cumbria Police about a party of three family members that were overdue and uncontactable during a walk up Scafell Pike. The Team Leader asked for car parks to be checked for the groupï¿½ï¿½ï¿½s vehicle, but happily as further information was being gathered contact was able to be made. All members of the party were all safe and well and got in touch when they were back in range of a mobile si", Incident started at 17:39 and ended at 18:28 making 0.8 hrs in total. There was 1 Wasdale team member involved. Total rescuer hours: 0.8,17:39,18:28,0.8,1,,0.8,['Overdue']
"Pen, Scafell Pike ï¿½ï¿½ï¿½ Sun 16th Fe",16-Feb-25,2,2025,1,13 in 2025,Full Callout ï¿½ï¿½ï¿,"Pen, Scafell Pike","['Cold', 'Dry', 'Snow']",['Cumbria Police'],,Full Callout,Lost,https://www.wmrt.org.uk/incidents/pen-scafell-pike-sun-16th-feb-2025/,"As callout 12 was in progress another 999 call was received requesting help. Two walkers had become separated from the rest of their group and mis-navigated in misty conditions. PhoneFind established that they were near Pen off the Eskdale side of Scafell Pike summit. They were concerned for their safety and stuck on steep and icy ground. Some members of the party already on the fell agreed to ascend via Mickledore and proceeded to their location. Once on scene the walkers were reassured and assisted to descend into Upper Eskdale for an easier but longer route to safety. En route a further lost lone walker was also encountered (by good fortune) and he joined the party. After the long walk out, team members returned to base to reset the vehicles ready for the next callout. 






 ", Incident started at 15:43 and ended at 21:44 making 6 hrs in total. There were 10 Wasdale team members involved and the incident occured at NY 221067. Total rescuer hours: 60,15:43,21:44,6,10,NY 221067,60,"['Lost', 'PhoneFind']"
"Lingmell Col, Scafell Pike ï¿½ï¿½ï¿½ Sun 16th Fe",16-Feb-25,2,2025,1,12 in 2025,Full Callout ï¿½ï¿½ï¿½ Injured & M,"Lingmell Col, Scafell Pike","['Cold', 'Dry']","['Cumbria Police', 'Helimed 63']","Arm Injury, Head Injury",Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-sun-16th-feb-2025/,"A call was received from Cumbria Police regarding a walker who had fallen and injured his head and his arm. He was walking slowly downhill with other members of his group.
The Team Leader made contact and established that the walker had a high pain score and was still light headed so helicopter assistance was requested, alongside a full callout. Helimed 63 responded from the North East and managed to negotiate the cloud base to land close enough for the crew to walk to scene. Thankfully after an assessment the injuries were not too serious and the walker was able to walk down. Team members ascended to meet the casualty, and received a handover from the Helimed crew.
However, whilst on scene another walker was passing who had also taken a fall, also with a suspected arm fracture and they were also making their own way down. With another land ambulance requested, both casualties were able to complete their descent off the fell under the watchful eyes of the team Remote Rescue Medical Technicians.
We wish them both a quick recovery and offer thanks to the Helimed crew for their help. ", Incident started at 13:23 and ended at 17:48 making 4.4 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY 207075. Total rescuer hours: 57,13:23,17:48,4.4,13,NY 207075,57,
Upper Eskdale ï¿½ï¿½ï¿½ Sun 16th Fe,16-Feb-25,2,2025,1,11 in 2025,Alert ï¿½ï¿½ï¿,Upper Eskdale,['Snow'],['Cumbria Police'],,Alert,Lost,https://www.wmrt.org.uk/incidents/upper-eskdale-sun-16th-feb-2025/,"A call was received from Cumbria Police about a party of three walkers who were lost on Scafell Pike. The Team Leader was able to gain an accurate location via Phonefind, which was in Upper Eskdale, this was significantly off course for their intended destination of Wasdale. One of the walkers had a minor injury but was able to walk out, so the Team Leader guided them out over the phone and monitored with further Phonefindï¿½ï¿½ï¿½s. They reached the valley safely and the log was closed later when they were back to their", Incident started at 13:07 and ended at 16:32 making 3.4 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 20000 03300. Total rescuer hours: 3.4,13:07,16:32,3.4,1,NY 20000 03300,3.4,"['Lost', 'PhoneFind']"
Scafell Pike ï¿½ï¿½ï¿½ Sat 15th Fe,15-Feb-25,2,2025,7,10 in 2025,Alert ï¿½ï¿½ï¿,Scafell Pike,['Snow'],,,Alert,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-sat-15th-feb-2025/,"A short alert when a group of seven walkers were reporting themselves lost after aborting an ascent of Scafell Pike due to the winter conditions. However, as the Team Leader was gathering information it was confirmed that the group had fortunately met up with other walkers who were able to guide them safely back down to Seathwaite. ", Incident started at 15:50 and ended at 16:05 making 0.3 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 21419 07047. Total rescuer hours: 0.3,15:50,16:05,0.3,1,NY 21419 07047,0.3,['Lost']
"Slight Side, Scafell ï¿½ï¿½ï¿½ Sat 15th Fe",15-Feb-25,2,2025,7,9 in 2025,Limited Callout ï¿½ï¿½ï¿½ Cr,"Slight Side, Scafell","['Cold', 'Dry', 'Mist']",['Cumbria Police'],,Limited Callout,Cragfast,https://www.wmrt.org.uk/incidents/slight-side-scafell-sat-15th-feb-2025/,"ýýbusy weekend kicked off with a call from Cumbria Police on Saturday afternoon. Two well-prepared walkers had called for assistance as one of the walkers was suffering from a panic attack and was unable to make further progress. A location was obtained from PhoneFind. With no injuries reported, the Team Leader asked a small party to proceed to the scene and provide assistance. After the long walk-in, the two walkers were found just off the ridge but on some steep ground in extremely cold conditions. A rope rescue was required and successfully undertaken, bringing both walkers back to the ridge in turn. Once on safe ground, and after re-warming in a shelter with some additional layers, both were able to walk out unaided and were dropped off close by at their accommodation in Eskdale. We wish them both well. ", Incident started at 15:17 and ended at 00:10 making 8.9 hrs in total. There were 5 Wasdale team members involved and the incident occured at NY211056. Total rescuer hours: 45,15:17,0:10,8.9,5,NY211056,45,"['Panic Attack', 'PhoneFind']"
"Rough Crag, Scafell Pike ï¿½ï¿½ï¿½ Tue 11th Fe",11-Feb-25,2,2025,3,8 in 2025,Full Callout ï¿½ï¿½ï¿,"Rough Crag, Scafell Pike","['Cold', 'Dry', 'Mist']",['Cumbria Police'],,Full Callout,Lost,https://www.wmrt.org.uk/incidents/rough-crag-scafell-pike-tue-11th-feb-2025/,"After a quiet period of over three weeks without a callout, a call was received from Cumbria Police. Two walkers had mis-navigated off Scafell Pike summit plateau in misty conditions and ended up beneath Rough Crag. In very cold conditions a full callout was made by the Team Leader, with several parties moving towards the walkers via different routes. Fortunately the walkers had been able to be guided down over the phone to Upper Eskdale, and the advance rescue team party met them walking out on the path. Both were safe and well and so all parties were stood down and walked back to the vehicles. ", Incident started at 16:03 and ended at 21:04 making 5 hrs in total. There were 25 Wasdale team members involved and the incident occured at NY 21800 06700. Total rescuer hours: 125,16:03,21:04,5,25,NY 21800 06700,125,['Lost']
Upper Eskdale ï¿½ï¿½ï¿½ Sat 18th Ja,18-Jan-25,1,2025,7,7 in 2025,Alert ï¿½ï¿½ï¿½ O,Upper Eskdale,"['Clear', 'Cool', 'Dry']",,,Alert,Overdue,https://www.wmrt.org.uk/incidents/upper-eskdale-sat-18th-jan-2025/,"During callout 6, five inexperienced walkers were reported overdue by their friend after setting off for an impromptu walk up Scafell and Scafell Pike from Upper Eskdale. Most team members deployed for the ongoing callout in Wasdale were asked to hold for possible redeployment and additional team members were also asked for their availability. However, shortly after this another call was received, confirming that the party had just returned safe and well to a local hostelry, so the log was closed. ", Incident started at 20:07 and ended at 20:47 making 0.7 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY 21793 02265. Total rescuer hours: 4.9,20:07,20:47,0.7,7,NY 21793 02265,4.9,['Overdue']
"Corridor Route, Scafell Pike ï¿½ï¿½ï¿½ Sat 18th Ja",18-Jan-25,1,2025,7,6 in 2025,Full Callout ï¿½ï¿½ï¿½ Cr,"Corridor Route, Scafell Pike","['Clear', 'Cool', 'Dark']",,,Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/corridor-route-scafell-pike-tue-18th-feb-2025/,"A call was received on Saturday evening about two walkers who had mis-navigated away from the Corridor Route aiming for Borrowdale and were concerned for their safety. A location was obtained from the initial police call. The Team Leader was able to contact the walkers and ensure that they were confident to stay in their current location and wait for the team. An advance party including Jess, our search dog, was tasked in advance of the first team vehicle. Four legs proved better than two, with Jess making a find and directing the rescuers to the two cold walkers. A careful route was then taken down some fairly steep terrain before completing an uneventful walk back to Gavel Neese. The walkers took a taxi ride back to Seathwaite before the team stood down after resetting the vehicles. (Huge thanks too for the Burnthwaite Farm brownies fresh out of the oven for the advance party) ", Incident started at 18:12 and ended at 22:42 making 4.5 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY 21700 08600. Total rescuer hours: 90,18:12,22:42,4.5,20,NY 21700 08600,90,"['Cragfast', 'Lost']"
"Hollowstones, Scafell Pike ï¿½ï¿½ï¿½ Sun 12th Ja",12-Jan-25,1,2025,1,5 in 2025,Alert ï¿½ï¿½ï¿½ O,"Hollowstones, Scafell Pike",['Snow'],['Cumbria Police'],,Alert,Overdue,https://www.wmrt.org.uk/incidents/hollowstones-scafell-pike-sun-12th-jan-2025/,"A call was received from Cumbria Police about two walkers who were reported as being lost in the snow. They had reported this to friends who had then called the police when they became overdue. Happily, as the Team Leader was gathering information and considering calling the team out, another call was taken by the police confirming they had made it safely down to the valley and were at their vehicle. ", Incident started at 18:06 and ended at 18:37 making 0.5 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 20620 07239. Total rescuer hours: 0.5,18:06,18:37,0.5,1,NY 20620 07239,0.5,['Overdue']
Birker Fell ï¿½ï¿½ï¿½ Thu 9th Ja,9-Jan-25,1,2025,5,4 in 2025,Limited Callout ï¿½ï¿½ï¿½,Birker Fell,"['Clear', 'Cold', 'Dry']",['Cumbria Police'],,Limited Callout,Other,https://www.wmrt.org.uk/incidents/birker-fell-thu-9th-jan-2025/,"A call was received from Cumbria Police to assist with helping a stranded motorist off Birker Fell and back to safe ground after a road traffic accident. A limited callout was made to take a team 4ï¿½ï¿½4 vehicle to the scene and assist, however a team member in the valley was able to get to the location quickly and provide assistance to walk o", Incident started at 22:32 and ended at 23:47 making 1.3 hrs in total. There were 8 Wasdale team members involved and the incident occured at SD 161993. Total rescuer hours: 10,22:32,23:47,1.3,8,,10,['Vehicle']
Scafell Pike ï¿½ï¿½ï¿½ Mon 6th Ja,6-Jan-25,1,2025,2,3 in 2025,Alert ï¿½ï¿½ï¿½ O,Scafell Pike,"['Clear', 'Cold', 'Dry']","['Cumbria Police', 'Langdale Ambleside MRT']",,Alert,Overdue,https://www.wmrt.org.uk/incidents/langdale-mon-6th-jan-2025/,"A call was received from Cumbria Police from a relative of a lone walker. He had not been in contact for over 24 hours, having known to have been on Scafell Pike on Sunday morning. He had subsequently sent a video from an unknown location at 2pm.
Once the video was reviewed, it was possible that it was taken from the Rosset Gill area and as such our neighbours at Langdale Ambleside MRT were asked for their opinion. However, shortly afterwards there was another call from the informant saying that the walker was safe and well and on his way home. This news was very gratefully received by both teams and the log closed. ", Incident started at 20:52 and ended at 22:27 making 1.6 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY 21784 07574. Total rescuer hours: 11,20:52,22:27,1.6,7,NY 21784 07574,11,['Overdue']
Upper Eskdale ï¿½ï¿½ï¿½ Sun 5th Ja,5-Jan-25,1,2025,1,2 in 2025,Full Callout ï¿½ï¿½ï¿,Upper Eskdale,"['Cloudy Summits', 'Cold']","['Coastguard', 'Cumbria Police', 'Rescue 199 from Prestwick']",Hypothermia,Full Callout,Lost,https://www.wmrt.org.uk/incidents/upper-eskdale-sun-5th-jan-2025/,"An alert was received this morning from Cumbria Police about a party of five walkers who were reporting themselves close to hypothermia. The information came via an iPhone emergency satellite message so further information was initially quite limited. Helpfully an exact location was obtained, although this was in a remote area in Upper Eskdale. Further information received via another message indicated that one person was also ill, and another had injured his ankle. They had misnavigated off Scafell Pike summit, attempting to return to Seathwaite. The Team Leader swiftly made a full callout and asked an advance party of two to make their way as quickly as possible to the location. A Coastguard helicopter from Prestwick (Rescue 199) also responded quickly. The assumption at this stage was that the walkers had been lost since the previous afternoon. Further iPhone emergency messages indicated the party was moving down the valley towards the road, although for a time it was unclear whether this was the whole group or just one or two people. Thankfully the advance party had not travelled too far when they met up with the party of five walking out. All were safe and able to complete the journey to the road and then to a local hostelry, where they could organise a taxi back to Borrowdale. The debrief ascertained that the group had set off from North Yorkshire at midnight, arrived at Seathwaite and then set off on their walk at 4am. They had made the summit of Scafell Pike but then found themselves in Upper Eskdale; cold, wet and concerned for their safety. They were not equipped properly for full winter conditions on the high fells, and were also inexperienced. At times they were waist deep in snow. To their credit, they fully acknowledged their misjudgment in this attempt and were humble and thankful for the help, fully aware this could have ended with a much worse outcome. Thanks again to the support from Coastguard helicopter Rescue199. 









 ", Incident started at 09:23 and ended at 11:57 making 2.6 hrs in total.  Incident occured at NY 229070.,9:23,11:57,2.6,,NY 229070,,['Lost']
Whitehaven ï¿½ï¿½ï¿½ Thu 2nd Ja,2-Jan-25,1,2025,5,1 in 2025,Limited Callout ï¿½ï¿½ï¿½ Injured & M,Whitehaven,"['Cold', 'Dry', 'Sunny']",['North West Ambulance Service'],Leg Injury,Limited Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/whitehaven-thu-2nd-jan-2025/,"A short ambulance assist was required for a man who had fallen and sustained a broken leg whilst visiting a cemetery in Whitehaven. The North West Ambulance Service team was on scene but needed some help for the transfer to the ambulance.  A limited callout was made and some local team members attended direct with others ready at base if further team equipment or people were needed. However, the extra help at base was not needed and the transfer to the ambulance was completed quickly under the direction of NWAS. We wish the man a speedy recovery. ", Incident started at 12:08 and ended at 13:02 making 0.9 hrs in total. There were 8 Wasdale team members involved and the incident occured at NX 97500 16600. Total rescuer hours: 7,12:08,13:02,0.9,8,,7,['Ambulance Assist']
