,title,date,Incident,Type,Location,Weather,Tagged,Incident_Type,Incident_Cause,url,main_text,rescue_info,start_time,end_time,hrs,staff,location,total_hrs,Other Agencies,Diagnosis,year,month,year_month
14,"Corridor Route, Scafell Pike – Fri 26th Sep 2025",2025-09-26,131 in 2025,Alert — Lost,"Corridor Route, Scafell Pike","['Clear', 'Dry', 'Sunny']","['iPhone Emergency SOS', 'Lost']",Alert,Lost,https://www.wmrt.org.uk/incidents/corridor-route-scafell-pike-fri-26th-sep-2025/,"Cumbria Police contacted the Team Leader via the iPhone SOS emergency service regarding two walkers lost whilst descending from Scafell Pike. Although their location was identified, it was not possible to make direct contact. The iPhone emergency centre was asked to guide them back onto the path. The pair later encountered a member of the public who assisted them down safely. No injuries reported and no team deployment was required. ", Incident started at 09:51 and ended at 14:53 making 5 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 219085. Total rescuer hours: 5,09:51,14:53,5.0,1,NY 219085,5.0,['Cumbria Police'],,2025,9,2025-09-01
15,Langdale – Tue 23rd Sep 2025,2025-09-23,130 in 2025,Alert — Overdue,Langdale,"['Cloudy Summits', 'Cool']","['Overdue', 'Search']",Alert,Overdue,https://www.wmrt.org.uk/incidents/langdale-tue-23rd-sep-2025/,"The Team Leader received a request from Langdale Ambleside MRT regarding a possible search for an overdue walker. The team was placed on standby while initial investigations were carried out. Thankfully, the missing individual was later located safe and well in another valley with no deployment required. A good outcome. ", Incident started at 15:59 and ended at 20:40 making 4.7 hrs in total. There was 1 Wasdale team member involved. Total rescuer hours: 4.7,15:59,20:40,4.7,1,,4.7,['Langdale Ambleside MRT'],,2025,9,2025-09-01
16,"Hollowstones, Scafell Pike – Sun 21st Sep 2025",2025-09-21,129 in 2025,Full Callout — Injured & Medical,"Hollowstones, Scafell Pike","['Clear', 'Cool', 'Dry']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/hollowstones-scafell-pike-sun-21st-sep-2025/,"During callout 128, a passing walker reported another walker struggling to descend from the Hollow Stones area after rolling her ankle. Three MRT members already deployed on the hill were diverted to assess. On arrival, the casualty reported a painful ankle after ‘rolling’ it on the descent. Some pain relief was administered, and after assessment, she opted to continue walking. She made slow but steady progress downhill under supervision, and eventually made it safely down to the valley floor. We hope she recovers quickly from the injury. ", Incident started at 19:07 and ended at 23:04 making 4 hrs in total. There were 3 Wasdale team members involved and the incident occured at NY 203073. Total rescuer hours: 12,19:07,23:04,4.0,3,NY 203073,12.0,,Ankle Injury,2025,9,2025-09-01
17,"Scafell Pike Summit, Scafell Pike – Sun 21st Sep 2025",2025-09-21,128 in 2025,Full Callout — Injured & Medical,"Scafell Pike Summit, Scafell Pike","['Clear', 'Cool', 'Dry']",['PhoneFind'],Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-summit-scafell-pike-sun-21st-sep-2025/,"Cumbria Police contacted the team MRT about a male walker near the summit of Scafell Pike, reportedly unable to continue due to cramp. A PhoneFind was successful to obtain an accurate location, and the party began to descend with improving progress. Five team members deployed from Brackenclose and met the walker approximately 200m above the stream crossing. He was assessed and encouraged to continue walking. A stretcher party was on standby at Brackenclose in case the situation worsened, which happily it did not. During the response, three additional team members were dispatched to investigate a separate report of another walker in difficulty near Hollow Stones (logged separately as Incident 129). 






 ", Incident started at 17:34 and ended at 18:54 making 1.3 hrs in total. There were 15 Wasdale team members involved and the incident occured at NY 213073. Total rescuer hours: 20,17:34,18:54,1.3,15,NY 213073,20.0,['Cumbria Police'],,2025,9,2025-09-01
18,Hardknott Pass – Sun 21st Sep 2025,2025-09-21,127 in 2025,Alert — Injured & Medical,Hardknott Pass,"['Clear', 'Dry']",['Cyclist'],Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/hardknott-pass-sun-21st-sep-2025/,"The team was called by North West Ambulance Service regarding a cyclist who had come off his bike while descending Hardknott Pass, reportedly sustaining head injuries. A local team member was deployed quickly to assess. The cyclist was found standing and in a location accessible to ambulance services. As such the team was stood down as no further assistance was needed. We hope the cyclist has recovered quickly. ", Incident started at 12:23 and ended at 13:27 making 1.1 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY 213011. Total rescuer hours: 2.2,12:23,13:27,1.1,2,NY 213011,2.2,['North West Ambulance Service'],Head Injury,2025,9,2025-09-01
19,Black Sail Pass – Thu 11th Sep 2025,2025-09-11,126 in 2025,Full Callout — Injured & Medical,Black Sail Pass,"['Cloudy Summits', 'Cool']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/black-sail-pass-thu-11th-sep-2025/,"Cumbria Police contacted the team regarding a walker with a suspected broken ankle just beyond the top of Black Sail Pass. Her son made the call from Wasdale Head Inn and remained there to guide team members to the location. The walker was located approximately 100m beyond the col, assessed, and treated with splinting and pain relief. She was stretchered down to Wasdale Head Inn, where her husband met her for onward transport to hospital and further treatment. We wish the walker a very swift recovery from her injury. And hope she is back on the fells soon. ", Incident started at 13:58 and ended at 18:57 making 5 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY193115. Total rescuer hours: 100,13:58,18:57,5.0,20,NY193115,100.0,['Cumbria Police'],Ankle Injury,2025,9,2025-09-01
20,"Low Adam Crag, Wast Water Screes – Wed 10th Sep 2025",2025-09-10,125 in 2025,Alert — Cragfast,"Low Adam Crag, Wast Water Screes","['Cloudy Summits', 'Rain']","['Cragfast', 'PhoneFind']",Alert,Cragfast,https://www.wmrt.org.uk/incidents/wast-water-screes-wed-10th-sep-2025/,"The team was called by Cumbria Police regarding two walkers stuck on a rocky and slippery route on the Screes. They were concerned for their safety. PhoneFind was initiated and confirmed their location near Low Adam Crag. After reassurance and guidance from the Team Leader, the pair continued safely to Wasdale Head, with no team deployment required. ", Incident started at 14:20 and ended at 16:25 making 2.1 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 156049. Total rescuer hours: 2.1,14:20,16:25,2.1,1,NY 156049,2.1,['Cumbria Police'],,2025,9,2025-09-01
21,Scafell Pike – Sat 6th Sep 2025,2025-09-06,124 in 2025,Alert — Overdue,Scafell Pike,"['Cloudy Summits', 'Cool']",['Overdue'],Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sat-6th-sep-2025/,"Cumbria Police raised an alert to the Team Leader for overdue walkers on Scafell Pike. Whilst he began investigating, contact was made with the party, who confirmed they were now off the fell and making their way home. No team deployment was required. ", Incident started at 20:38 and ended at 20:49 making 0.2 hrs in total. There was 1 Wasdale team member involved. Total rescuer hours: 0.2,20:38,20:49,0.2,1,,0.2,['Cumbria Police'],,2025,9,2025-09-01
22,"Greencove Wyke, Scafell – Sat 6th Sep 2025",2025-09-06,123 in 2025,Full Callout — Cragfast,"Greencove Wyke, Scafell","['Clear', 'Dry']",['Cragfast'],Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/greencove-wyke-scafell-sat-6th-sep-2025/,"Cumbria Police contacted the Team Leader regarding two walkers who were reporting themselves crag fast on steep ground on the Greencove Wyke side of Scafell. Initial contact by mobile phone was attempted but was unsuccessful, so a full team callout was made. A Coastguard helicopter was also requested, and Rescue 936 from Caernarfon responded. Additional support was also requested from Duddon and Furness MRT due to slightly low numbers.
As the teams prepared to deploy with rope rescue equipment, the helicopter was able to located the pair and winch them to safety. They then transferred them to Brackenclose to meet up with team members.
Huge thanks to the helicopter crew for saving us considerable effort and time, thus leaving us more resilient for further call outs later in the day. ", Incident started at 04:33 and ended at 07:56 making 3.4 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY 211062. Total rescuer hours: 48,04:33,07:56,3.4,14,NY 211062,48.0,"['Coastguard', 'Cumbria Police', 'Duddon & Furness MRT', 'Rescue 936 from Caernarfon']",,2025,9,2025-09-01
23,"Dore Head, Yewbarrow – Thu 4th Sep 2025",2025-09-04,122 in 2025,Full Callout — Lost,"Dore Head, Yewbarrow","['Cloudy Summits', 'Cool', 'Dry']","['Lost', 'Party Separated']",Full Callout,Lost,https://www.wmrt.org.uk/incidents/dore-head-yewbarrow-thu-4th-sep-2025/,"Cumbria Police reported a male walker lost and separated from his friend near Dore Head. The Team Leader was unable to make contact, so team members were deployed to search all routes to the last known location. Both individuals were found relatively quickly and walked off the hill without incident. It was also a good chance to give our thermal imaging equipment a workout in real conditions. ", Incident started at 21:12 and ended at 00:30 making 3.3 hrs in total.  Incident occured at NY 175095.,21:12,00:30,3.3,,NY 175095,,['Cumbria Police'],,2025,9,2025-09-01
24,"Mickledore, Scafell Pike – Mon 1st Sep 2025",2025-09-01,121 in 2025,Full Callout — Lost,"Mickledore, Scafell Pike","['Cool', 'Drizzle', 'Mist']","['Cragfast', 'Lost']",Full Callout,Lost,https://www.wmrt.org.uk/incidents/mickledore-scafell-pike-mon-1st-sep-2025/,"Cumbria Police contacted the team regarding three walkers who were lost and stuck on Scafell Pike at Mickledore. The Team Leader attempted to talk them off the hill, but they were unable to move. The group sheltered in the stretcher box while waiting for team members to arrive. Once located and checked over, all three walked off the hill safely back down to the valley floor. ", Incident started at 00:17 and ended at 07:38 making 7.4 hrs in total. There were 7 Wasdale team members involved and the incident occured at NY 210069. Total rescuer hours: 52,00:17,07:38,7.4,7,NY 210069,52.0,['Cumbria Police'],,2025,9,2025-09-01
25,Scafell Pike – Sun 31st Aug 2025,2025-08-31,120 in 2025,Full Callout — Lost,Scafell Pike,"['Cool', 'Dry', 'Windy']","['Lost', 'PhoneFind']",Full Callout,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-sun-31st-aug-2025/,"As incident 119 was ongoing, a further call was received by Cumbria Police. Two walkers were lost below the summit of Scafell Pike. Using PhoneFind, the Team Leader located them and guided them back to the summit. Once they re-joined the main path and met up with other walkers the log was closed with no further action required from the team members already on the hill. ", Incident started at 15:30 and ended at 17:01 making 1.5 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY 215070. Total rescuer hours: 30,15:30,17:01,1.5,20,NY 215070,30.0,['Cumbria Police'],,2025,8,2025-08-01
26,"Brown Tongue, Scafell Pike – Sun 31st Aug 2025",2025-08-31,119 in 2025,Full Callout — Injured & Medical,"Brown Tongue, Scafell Pike","['Dry', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-sun-31st-aug-2025/,"The team was called by Cumbria Police on Sunday to assist a walker who had slipped and heard a crack in her ankle. It was too painful to continue. A full callout was swiftly initiated, with Helimed 08 also deploying due to the potentially serious complications described. Once on scene the walker was assessed and given some strong pain relief. There was a team effort between Helimed and MRT team members to realign the likely dislocated ankle and relieve pain further. A routine stretcher carry was completed down to Brackenclose, before a handover and a flight to hospital. Thanks the the Helimed 08 crew and we wish the walker a very quick recovery. 












 ", Incident started at 14:08 and ended at 17:36 making 3.5 hrs in total. There were 20 Wasdale team members involved and the incident occured at NY 195074. Total rescuer hours: 70,14:08,17:36,3.5,20,NY 195074,70.0,"['Cumbria Police', 'Helimed 08']",Ankle Injury,2025,8,2025-08-01
27,Scafell Pike – Sat 30th Aug 2025,2025-08-30,118 in 2025,Alert — Overdue,Scafell Pike,"['Cloudy Summits', 'Rain']",['Overdue'],Alert,Overdue,https://www.wmrt.org.uk/incidents/scafell-pike-sat-30th-aug-2025/,"Cumbria Police contacted the team regarding a father and son overdue from a walk up Scafell Pike. Their hotel had raised concern based on their planned route and return time. Team Leaders began investigation and later it was confirmed the pair had arrived safely at a YHA in a different valley after a navigational error. No deployment was required and a good outcome, in what could have turned into a large scale search. ", Incident started at 20:58 and ended at 21:49 making 0.9 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY 21601 07311. Total rescuer hours: 1.8,20:58,21:49,0.9,2,NY 21601 07311,1.8,['Cumbria Police'],,2025,8,2025-08-01
28,"Lingmell Col, Scafell Pike – Sat 30th Aug 2025",2025-08-30,117 in 2025,Alert — Lost,"Lingmell Col, Scafell Pike","['Cloudy Summits', 'Rain']",['Lost'],Alert,Lost,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-sat-30th-aug-2025-2/,"With incident 116 ongoing, Cumbria Police reported two walkers lost whilst descending Scafell Pike. The Team Leader investigated and PhoneFind located them below Lingmell Col. The Team Leader provided directions back to the path, and from they walked off independently. No further action from the team was required. ", Incident started at 18:09 and ended at 20:43 making 2.6 hrs in total. There were 19 Wasdale team members involved and the incident occured at NY 21202 07982. Total rescuer hours: 49,18:09,20:43,2.6,19,NY 21202 07982,49.0,['Cumbria Police'],,2025,8,2025-08-01
29,"Lingmell Col, Scafell Pike – Sat 30th Aug 2025",2025-08-30,116 in 2025,Full Callout — Injured & Medical,"Lingmell Col, Scafell Pike","['Cloudy Summits', 'Rain']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-sat-30th-aug-2025/,"A call was received from Cumbria Police regarding a male walker with head and leg injuries near Lingmell Col. The team was deployed quickly, however located the casualty much lower down than expected. Thankfully his injuries were superficial, caused by being blown over in strong wind. The walker descended unaided and was advised to seek hospital evaluation. ", Incident started at 17:40 and ended at 20:07 making 2.5 hrs in total. There were 19 Wasdale team members involved and the incident occured at NY 21179 07645. Total rescuer hours: 48,17:40,20:07,2.5,19,NY 21179 07645,48.0,['Cumbria Police'],Multiple Injuries,2025,8,2025-08-01
30,Scafell Pike – Fri 29th Aug 2025,2025-08-29,115 in 2025,Alert — Lost,Scafell Pike,['Rain'],['Lost'],Alert,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-fri-29th-aug-2025/,"A busy weekend started on Friday evening when Cumbria Police reported a group of eight walkers who were lost, wet, cold, and tired on Scafell Pike. The Team Leader contacted them and guided them off the hill remotely after a PhoneFind to determine their exact location.  All returned safely to their vehicle without MRT deployment. A good outcome. ", Incident started at 23:56 and ended at 00:58 making 1 hrs in total. There were 2 Wasdale team members involved and the incident occured at NY 19010 07350. Total rescuer hours: 2,23:56,00:58,1.0,2,NY 19010 07350,2.0,['Cumbria Police'],,2025,8,2025-08-01
31,Wast Water – Tue 26th Aug 2025,2025-08-26,114 in 2025,Alert — Other,Wast Water,"['Cool', 'Drizzle']",,Alert,Other,https://www.wmrt.org.uk/incidents/wastwater-tue-26th-aug-2025/,"A call was received from NWAS requesting assistance for a car stuck off the roadside near Wast Water. As further investigation, the team was not deployed as this is not within the scope of the team. A local recovery company ultimately attended and assisted the family. ", Incident started at 03:00 and ended at 04:00 making 1 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 154057. Total rescuer hours: 1,03:00,04:00,1.0,1,NY 154057,1.0,['North West Ambulance Service'],,2025,8,2025-08-01
